NAME (groups),NAME,FACLNBR,PAYER (groups),Observation,Surgical,NICU,Stays,Days,YEAR
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,Observation,Non-Surgical,Non-NICU,45,346,2017
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,Observation,Non-Surgical,Non-NICU,63,350,2018
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,Observation,Non-Surgical,Non-NICU,39,186,2019
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,Observation,Non-Surgical,Non-NICU,43,278,2020
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,Observation,Non-Surgical,Non-NICU,39,168,2021
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,Observation,Surgical,ICU <1 Year Old,1,9,2019
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,Observation,Surgical,ICU <1 Year Old,2,141,2020
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,Observation,Surgical,Non-NICU,4,14,2016
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,Observation,Surgical,Non-NICU,26,336,2017
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,Observation,Surgical,Non-NICU,44,523,2018
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,Observation,Surgical,Non-NICU,8,53,2019
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,Observation,Surgical,Non-NICU,18,207,2020
FACH,ADVENTHEALTH ORLANDO,100007,Kidcare,Observation,Surgical,Non-NICU,8,111,2021
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,No Observation,Non-Surgical,ICU <1 Year Old,1,10,2016
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,No Observation,Non-Surgical,ICU <1 Year Old,4,31,2017
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,No Observation,Non-Surgical,ICU <1 Year Old,2,2,2018
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,No Observation,Non-Surgical,ICU <1 Year Old,6,50,2019
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,No Observation,Non-Surgical,ICU <1 Year Old,3,11,2020
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,No Observation,Non-Surgical,ICU <1 Year Old,7,143,2021
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,No Observation,Non-Surgical,NICU Level I,221,591,2016
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,No Observation,Non-Surgical,NICU Level I,275,699,2017
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,No Observation,Non-Surgical,NICU Level I,342,710,2018
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,No Observation,Non-Surgical,NICU Level I,290,617,2019
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,No Observation,Non-Surgical,NICU Level I,285,572,2020
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,No Observation,Non-Surgical,NICU Level I,316,639,2021
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,No Observation,Non-Surgical,NICU Level II,23,249,2016
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,No Observation,Non-Surgical,NICU Level II,6,69,2017
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,No Observation,Non-Surgical,NICU Level II,43,281,2018
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,No Observation,Non-Surgical,NICU Level II,50,248,2019
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,No Observation,Non-Surgical,NICU Level II,77,573,2020
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,No Observation,Non-Surgical,NICU Level II,65,508,2021
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,No Observation,Non-Surgical,NICU Level III,64,562,2016
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,No Observation,Non-Surgical,NICU Level III,36,174,2017
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,No Observation,Non-Surgical,NICU Level III,23,131,2018
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,No Observation,Non-Surgical,NICU Level III,90,1178,2019
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,No Observation,Non-Surgical,NICU Level III,160,2338,2020
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,No Observation,Non-Surgical,NICU Level III,150,1658,2021
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,No Observation,Non-Surgical,Non-NICU,179,483,2016
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,No Observation,Non-Surgical,Non-NICU,124,316,2017
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,No Observation,Non-Surgical,Non-NICU,97,284,2018
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,No Observation,Non-Surgical,Non-NICU,115,411,2019
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,No Observation,Non-Surgical,Non-NICU,138,444,2020
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,No Observation,Non-Surgical,Non-NICU,134,582,2021
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,No Observation,Surgical,ICU <1 Year Old,3,15,2016
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,No Observation,Surgical,ICU <1 Year Old,2,11,2017
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,No Observation,Surgical,ICU <1 Year Old,3,33,2020
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,No Observation,Surgical,NICU Level III,1,6,2020
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,No Observation,Surgical,NICU Level III,3,61,2021
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,No Observation,Surgical,Non-NICU,44,206,2016
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,No Observation,Surgical,Non-NICU,26,129,2017
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,No Observation,Surgical,Non-NICU,17,98,2018
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,No Observation,Surgical,Non-NICU,23,73,2019
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,No Observation,Surgical,Non-NICU,20,140,2020
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,No Observation,Surgical,Non-NICU,20,80,2021
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,Observation,Non-Surgical,ICU <1 Year Old,6,68,2016
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,Observation,Non-Surgical,ICU <1 Year Old,3,31,2017
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,Observation,Non-Surgical,ICU <1 Year Old,2,66,2018
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,Observation,Non-Surgical,ICU <1 Year Old,2,59,2019
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,Observation,Non-Surgical,ICU <1 Year Old,3,60,2021
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,Observation,Non-Surgical,NICU Level I,24,71,2016
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,Observation,Non-Surgical,NICU Level I,63,209,2017
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,Observation,Non-Surgical,NICU Level I,75,192,2018
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,Observation,Non-Surgical,NICU Level I,39,97,2019
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,Observation,Non-Surgical,NICU Level II,8,156,2016
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,Observation,Non-Surgical,NICU Level II,13,141,2017
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,Observation,Non-Surgical,NICU Level II,32,254,2018
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,Observation,Non-Surgical,NICU Level II,14,163,2019
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,Observation,Non-Surgical,NICU Level II,8,261,2021
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,Observation,Non-Surgical,NICU Level III,113,4055,2016
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,Observation,Non-Surgical,NICU Level III,129,4441,2017
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,Observation,Non-Surgical,NICU Level III,128,4152,2018
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,Observation,Non-Surgical,NICU Level III,118,5706,2019
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,Observation,Non-Surgical,NICU Level III,60,3804,2020
FACH,ADVENTHEALTH ORLANDO,100007,Medicaid Fee-for-Service,Observation,Non-Surgical,NICU Level III,48,2538,2021
