IsGrandTotalRowTotal,CountSYS_RECID,SumLOSDAYS,Hospital,PAYER (groups),Observation,Surgical,NICU,YEAR
False,1,2,"ST JOSEPHS HOSPITAL","Commercial","No Observation","Non-Surgical","NICU Level II",2017
False,1,2,"UF HEALTH SHANDS HOSPITAL","Other","No Observation","Non-Surgical","Non-NICU",2017
False,1,2,"ST MARY'S MEDICAL CENTER","Other Federal","No Observation","Non-Surgical","NICU Level I",2021
False,1,2,"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","Self/Non-Payment","No Observation","Non-Surgical","NICU Level II",2021
False,1,2,"TAMPA GENERAL HOSPITAL","Kidcare","No Observation","Non-Surgical","NICU Level I",2021
False,1,2,"ST MARY'S MEDICAL CENTER","Other State/Local","No Observation","Non-Surgical","NICU Level I",2021
False,1,2,"WOLFSON CHILDREN'S HOSPITAL","Self/Non-Payment","No Observation","Non-Surgical","ICU <1 Year Old",2021
False,1,2,"BAPTIST MEDICAL CENTER JACKSONVILLE","Self/Non-Payment","No Observation","Non-Surgical","NICU Level II",2021
False,1,2,"ST JOSEPHS HOSPITAL","Other Federal","No Observation","Non-Surgical","NICU Level I",2021
False,1,2,"BROWARD HEALTH MEDICAL CENTER","Other","No Observation","Non-Surgical","Non-NICU",2021
False,1,2,"MEMORIAL REGIONAL HOSPITAL","Medicare","No Observation","Non-Surgical","NICU Level I",2016
False,1,2,"HEALTHPARK MEDICAL CENTER","Other State/Local","No Observation","Non-Surgical","NICU Level I",2016
False,1,2,"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","Self/Non-Payment","No Observation","Non-Surgical","NICU Level II",2016
False,1,2,"BAPTIST MEDICAL CENTER JACKSONVILLE","Other","No Observation","Non-Surgical","Non-NICU",2016
False,1,2,"ARNOLD PALMER MEDICAL CENTER","Other","No Observation","Non-Surgical","NICU Level I",2016
False,1,2,"ST MARY'S MEDICAL CENTER","Medicare","No Observation","Non-Surgical","NICU Level I",2021
False,1,2,"UF HEALTH SHANDS HOSPITAL","Other State/Local","No Observation","Non-Surgical","NICU Level II",2017
False,1,2,"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","Other Federal","No Observation","Non-Surgical","NICU Level II",2017
False,1,2,"ADVENTHEALTH ORLANDO","Other State/Local","No Observation","Non-Surgical","NICU Level I",2017
False,1,2,"UF HEALTH SHANDS HOSPITAL","Kidcare","No Observation","Non-Surgical","ICU <1 Year Old",2017
False,1,2,"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","Commercial","No Observation","Non-Surgical","NICU Level I",2017
False,1,2,"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","Self/Non-Payment","No Observation","Non-Surgical","NICU Level III",2017
False,1,2,"JACKSON MEMORIAL HOSPITAL","Medicare","No Observation","Non-Surgical","NICU Level I",2018
False,1,2,"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","Other","No Observation","Non-Surgical","Non-NICU",2018
False,1,2,"BROWARD HEALTH MEDICAL CENTER","Other","No Observation","Non-Surgical","NICU Level II",2018
False,1,2,"ST MARY'S MEDICAL CENTER","Medicare","No Observation","Non-Surgical","NICU Level I",2018
False,1,2,"BAPTIST MEDICAL CENTER JACKSONVILLE","Commercial","No Observation","Non-Surgical","ICU <1 Year Old",2018
False,1,2,"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","Other Federal","No Observation","Non-Surgical","NICU Level II",2018
False,1,2,"HEALTHPARK MEDICAL CENTER","Medicare","No Observation","Non-Surgical","Non-NICU",2017
False,1,2,"BROWARD HEALTH MEDICAL CENTER","Kidcare","No Observation","Non-Surgical","NICU Level I",2017
False,1,2,"ST MARY'S MEDICAL CENTER","Kidcare","No Observation","Non-Surgical","ICU <1 Year Old",2018
False,1,2,"BROWARD HEALTH MEDICAL CENTER","Self/Non-Payment","No Observation","Non-Surgical","ICU <1 Year Old",2018
False,1,2,"ADVENTHEALTH ORLANDO","Kidcare","No Observation","Non-Surgical","NICU Level I",2017
False,1,2,"TAMPA GENERAL HOSPITAL","Other State/Local","No Observation","Non-Surgical","NICU Level I",2016
False,1,2,"ADVENTHEALTH ORLANDO","Self/Non-Payment","No Observation","Non-Surgical","NICU Level II",2016
False,1,2,"MEMORIAL REGIONAL HOSPITAL","Medicare","No Observation","Non-Surgical","Non-NICU",2019
False,1,2,"HEALTHPARK MEDICAL CENTER","Self/Non-Payment","No Observation","Non-Surgical","ICU <1 Year Old",2019
False,1,2,"UF HEALTH SHANDS HOSPITAL","Other State/Local","No Observation","Non-Surgical","NICU Level I",2016
False,1,2,"ST MARY'S MEDICAL CENTER","Other Federal","No Observation","Non-Surgical","NICU Level I",2016
False,1,2,"ARNOLD PALMER MEDICAL CENTER","Kidcare","No Observation","Non-Surgical","ICU <1 Year Old",2016
False,1,2,"JACKSON MEMORIAL HOSPITAL","Self/Non-Payment","No Observation","Non-Surgical","ICU <1 Year Old",2016
False,1,2,"ASCENSION SACRED HEART PENSACOLA","Commercial","Observation","Non-Surgical","NICU Level I",2022
False,1,2,"ARNOLD PALMER MEDICAL CENTER","Medicaid","Observation","Non-Surgical","NICU Level I",2022
False,1,2,"JACKSON MEMORIAL HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level II",2019
False,1,2,"JACKSON MEMORIAL HOSPITAL","Other State/Local","Observation","Non-Surgical","Non-NICU",2019
False,1,2,"ASCENSION SACRED HEART PENSACOLA","Medicaid","Observation","Non-Surgical","Non-NICU",2019
False,1,2,"TAMPA GENERAL HOSPITAL","Workers' Comp","Observation","Non-Surgical","Non-NICU",2020
False,1,2,"HEALTHPARK MEDICAL CENTER","Other Federal","Observation","Non-Surgical","Non-NICU",2020
False,1,2,"MEMORIAL REGIONAL HOSPITAL","Medicaid","Observation","Non-Surgical","NICU Level II",2020
False,1,2,"TAMPA GENERAL HOSPITAL","Other","Observation","Non-Surgical","NICU Level II",2020
False,1,2,"UF HEALTH SHANDS HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level II",2019
False,1,2,"BAPTIST MEDICAL CENTER JACKSONVILLE","Other Federal","Observation","Non-Surgical","NICU Level II",2019
False,1,2,"JACKSON MEMORIAL HOSPITAL","Medicaid","Observation","Non-Surgical","NICU Level II",2022
False,1,2,"TAMPA GENERAL HOSPITAL","Other Federal","Observation","Non-Surgical","NICU Level I",2022
False,1,2,"ASCENSION SACRED HEART PENSACOLA","Other Federal","Observation","Non-Surgical","NICU Level I",2022
False,1,2,"WOLFSON CHILDREN'S HOSPITAL","Medicare","Observation","Non-Surgical","Non-NICU",2022
False,1,2,"BAPTIST MEDICAL CENTER JACKSONVILLE","Other Federal","Observation","Non-Surgical","NICU Level I",2022
False,1,2,"BAPTIST MEDICAL CENTER JACKSONVILLE","Self/Non-Payment","Observation","Non-Surgical","NICU Level I",2022
False,1,2,"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","Other Federal","Observation","Non-Surgical","Non-NICU",2017
False,1,2,"MEMORIAL REGIONAL HOSPITAL","Other Federal","Observation","Non-Surgical","Non-NICU",2017
False,1,2,"ST JOSEPHS HOSPITAL","Other State/Local","Observation","Non-Surgical","NICU Level II",2017
False,1,2,"ADVENTHEALTH ORLANDO","Other State/Local","Observation","Non-Surgical","ICU <1 Year Old",2017
False,1,2,"BAPTIST MEDICAL CENTER JACKSONVILLE","Other","Observation","Non-Surgical","Non-NICU",2017
False,1,2,"ST JOSEPHS HOSPITAL","Other","Observation","Non-Surgical","NICU Level I",2016
False,1,2,"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","Self/Non-Payment","Observation","Non-Surgical","Non-NICU",2016
False,1,2,"TAMPA GENERAL HOSPITAL","Other Federal","Observation","Non-Surgical","NICU Level I",2021
False,1,2,"ARNOLD PALMER MEDICAL CENTER","Commercial","Observation","Non-Surgical","NICU Level II",2021
False,1,2,"ST JOSEPHS HOSPITAL","Other State/Local","Observation","Non-Surgical","NICU Level I",2017
False,1,2,"JACKSON MEMORIAL HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level I",2018
False,1,2,"ARNOLD PALMER MEDICAL CENTER","Medicare","Observation","Non-Surgical","Non-NICU",2018
False,1,2,"JACKSON MEMORIAL HOSPITAL","Self/Non-Payment","Observation","Non-Surgical","NICU Level III",2018
False,1,2,"TAMPA GENERAL HOSPITAL","Other","Observation","Non-Surgical","NICU Level I",2020
False,1,2,"ADVENTHEALTH ORLANDO","Commercial","Observation","Non-Surgical","NICU Level I",2020
False,1,2,"UF HEALTH SHANDS HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level I",2020
False,1,2,"JACKSON MEMORIAL HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level I",2016
False,1,2,"BAPTIST MEDICAL CENTER JACKSONVILLE","Commercial","Observation","Non-Surgical","NICU Level I",2016
False,1,2,"ASCENSION SACRED HEART PENSACOLA","Other State/Local","Observation","Non-Surgical","Non-NICU",2016
False,1,2,"MEMORIAL REGIONAL HOSPITAL","Other Federal","Observation","Non-Surgical","Non-NICU",2016
False,1,2,"ARNOLD PALMER MEDICAL CENTER","Other State/Local","No Observation","Surgical","Non-NICU",2019
False,1,2,"ARNOLD PALMER MEDICAL CENTER","Kidcare","Observation","Surgical","Non-NICU",2019
False,1,2,"TAMPA GENERAL HOSPITAL","Workers' Comp","Observation","Surgical","Non-NICU",2020
False,1,2,"ST MARY'S MEDICAL CENTER","Other","No Observation","Surgical","Non-NICU",2020
False,1,2,"ARNOLD PALMER MEDICAL CENTER","Medicare","No Observation","Surgical","Non-NICU",2020
False,1,2,"HEALTHPARK MEDICAL CENTER","Self/Non-Payment","Observation","Surgical","Non-NICU",2020
False,1,2,"ST MARY'S MEDICAL CENTER","Medicaid","No Observation","Surgical","NICU Level II",2019
False,1,2,"UF HEALTH SHANDS HOSPITAL","Other State/Local","No Observation","Surgical","ICU <1 Year Old",2019
False,1,2,"WOLFSON CHILDREN'S HOSPITAL","Medicare","No Observation","Surgical","Non-NICU",2019
False,1,2,"ASCENSION SACRED HEART PENSACOLA","Medicare","Observation","Surgical","Non-NICU",2019
False,1,2,"ST JOSEPHS HOSPITAL","Kidcare","Observation","Surgical","Non-NICU",2019
False,1,2,"ST MARY'S MEDICAL CENTER","Self/Non-Payment","No Observation","Surgical","ICU <1 Year Old",2022
False,1,2,"ST MARY'S MEDICAL CENTER","Other Federal","No Observation","Surgical","ICU <1 Year Old",2018
False,1,2,"HEALTHPARK MEDICAL CENTER","Commercial","No Observation","Surgical","ICU <1 Year Old",2018
False,1,2,"ADVENTHEALTH ORLANDO","Kidcare","No Observation","Surgical","ICU <1 Year Old",2018
False,1,2,"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","Other Federal","No Observation","Surgical","ICU <1 Year Old",2017
False,1,2,"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","Self/Non-Payment","No Observation","Surgical","Non-NICU",2016
False,1,2,"ASCENSION SACRED HEART PENSACOLA","Medicaid","Observation","Surgical","Non-NICU",2016
False,1,2,"JACKSON MEMORIAL HOSPITAL","Other State/Local","No Observation","Surgical","Non-NICU",2016
False,1,2,"JACKSON MEMORIAL HOSPITAL","Medicaid","No Observation","Surgical","NICU Level II",2021
False,1,2,"ADVENTHEALTH ORLANDO","Other State/Local","No Observation","Surgical","ICU <1 Year Old",2021
False,1,2,"WOLFSON CHILDREN'S HOSPITAL","Other Federal","No Observation","Surgical","ICU <1 Year Old",2021
False,1,2,"ADVENTHEALTH ORLANDO","Medicaid","Observation","Surgical","NICU Level I",2017
False,1,2,"BROWARD HEALTH MEDICAL CENTER","Self/Non-Payment","No Observation","Surgical","ICU <1 Year Old",2018
False,1,2,"ARNOLD PALMER MEDICAL CENTER","Medicare","No Observation","Surgical","Non-NICU",2017
False,1,2,"TAMPA GENERAL HOSPITAL","Commercial","Observation","Surgical","NICU Level III",2018
False,1,2,"TAMPA GENERAL HOSPITAL","Other","No Observation","Surgical","Non-NICU",2021
False,1,2,"ST MARY'S MEDICAL CENTER","Kidcare","Observation","Surgical","Non-NICU",2020
False,1,2,"ARNOLD PALMER MEDICAL CENTER","Self/Non-Payment","No Observation","Surgical","ICU <1 Year Old",2016
False,1,2,"ASCENSION SACRED HEART PENSACOLA","Other Federal","No Observation","Surgical","ICU <1 Year Old",2019
False,1,2,"ARNOLD PALMER MEDICAL CENTER","Medicaid","No Observation","Surgical","NICU Level II",2019
False,1,2,"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","Medicare","Observation","Surgical","Non-NICU",2019
False,1,2,"JACKSON MEMORIAL HOSPITAL","Kidcare","No Observation","Surgical","Non-NICU",2016
False,1,2,"ADVENTHEALTH ORLANDO","Medicaid","No Observation","Surgical","NICU Level II",2016
False,1,2,"TAMPA GENERAL HOSPITAL","Kidcare","No Observation","Surgical","NICU Level III",2016
False,1,3,"WOLFSON CHILDREN'S HOSPITAL","Self/Non-Payment","No Observation","Surgical","NICU Level III",2022
False,1,3,"ST JOSEPHS HOSPITAL","Commercial","No Observation","Surgical","NICU Level III",2022
False,1,3,"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","Other Federal","No Observation","Surgical","ICU <1 Year Old",2018
False,1,3,"BROWARD HEALTH MEDICAL CENTER","Other Federal","No Observation","Surgical","Non-NICU",2019
False,1,3,"ST JOSEPHS HOSPITAL","Kidcare","No Observation","Surgical","Non-NICU",2019
False,1,3,"HEALTHPARK MEDICAL CENTER","Other Federal","No Observation","Surgical","Non-NICU",2020
False,1,3,"JACKSON MEMORIAL HOSPITAL","Other State/Local","No Observation","Surgical","Non-NICU",2020
False,1,3,"ST MARY'S MEDICAL CENTER","Medicaid","Observation","Surgical","ICU <1 Year Old",2020
False,1,3,"ST MARY'S MEDICAL CENTER","Other Federal","No Observation","Surgical","ICU <1 Year Old",2019
False,1,3,"BAPTIST MEDICAL CENTER JACKSONVILLE","Commercial","No Observation","Surgical","Non-NICU",2019
False,1,3,"BROWARD HEALTH MEDICAL CENTER","Other State/Local","No Observation","Surgical","Non-NICU",2022
False,1,3,"BAPTIST MEDICAL CENTER JACKSONVILLE","Other Federal","Observation","Surgical","Non-NICU",2018
False,1,3,"ARNOLD PALMER MEDICAL CENTER","Self/Non-Payment","Observation","Surgical","Non-NICU",2022
False,1,3,"ST MARY'S MEDICAL CENTER","Workers' Comp","No Observation","Surgical","Non-NICU",2021
False,1,3,"TAMPA GENERAL HOSPITAL","Medicare","Observation","Surgical","Non-NICU",2021
False,1,3,"ST JOSEPHS HOSPITAL","Workers' Comp","No Observation","Surgical","Non-NICU",2021
False,1,3,"BAPTIST MEDICAL CENTER JACKSONVILLE","Self/Non-Payment","No Observation","Surgical","ICU <1 Year Old",2016
False,1,3,"ARNOLD PALMER MEDICAL CENTER","Other Federal","No Observation","Surgical","ICU <1 Year Old",2016
False,1,3,"ADVENTHEALTH ORLANDO","Self/Non-Payment","No Observation","Surgical","ICU <1 Year Old",2021
False,1,3,"ADVENTHEALTH ORLANDO","Commercial","No Observation","Surgical","NICU Level II",2021
False,1,3,"JACKSON MEMORIAL HOSPITAL","Other State/Local","Observation","Surgical","Non-NICU",2017
False,1,3,"TAMPA GENERAL HOSPITAL","Commercial","No Observation","Surgical","NICU Level III",2018
False,1,3,"ST JOSEPHS HOSPITAL","Other State/Local","Observation","Surgical","Non-NICU",2017
False,1,3,"MEMORIAL REGIONAL HOSPITAL","Other Federal","Observation","Surgical","Non-NICU",2017
False,1,3,"MEMORIAL REGIONAL HOSPITAL","Other Federal","No Observation","Surgical","ICU <1 Year Old",2018
False,1,3,"HEALTHPARK MEDICAL CENTER","Other State/Local","No Observation","Surgical","Non-NICU",2020
False,1,3,"ST JOSEPHS HOSPITAL","Other","No Observation","Surgical","Non-NICU",2016
False,1,3,"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","Self/Non-Payment","No Observation","Surgical","NICU Level II",2016
False,1,3,"CAPE CORAL HOSPITAL","Other State/Local","No Observation","Non-Surgical","NICU Level I",2022
False,1,3,"ARNOLD PALMER MEDICAL CENTER","Self/Non-Payment","Observation","Non-Surgical","NICU Level I",2022
False,1,3,"BAPTIST MEDICAL CENTER JACKSONVILLE","Medicare","No Observation","Non-Surgical","NICU Level I",2019
False,1,3,"ST JOSEPHS HOSPITAL","Self/Non-Payment","No Observation","Non-Surgical","NICU Level II",2019
False,1,3,"TAMPA GENERAL HOSPITAL","Medicare","No Observation","Non-Surgical","Non-NICU",2019
False,1,3,"ADVENTHEALTH ORLANDO","Medicare","No Observation","Non-Surgical","ICU <1 Year Old",2019
False,1,3,"MEMORIAL REGIONAL HOSPITAL","Self/Non-Payment","Observation","Non-Surgical","ICU <1 Year Old",2018
False,1,3,"BAPTIST MEDICAL CENTER JACKSONVILLE","Other Federal","No Observation","Non-Surgical","NICU Level II",2019
False,1,3,"TAMPA GENERAL HOSPITAL","Self/Non-Payment","Observation","Non-Surgical","NICU Level I",2020
False,1,3,"ST JOSEPHS HOSPITAL","Kidcare","No Observation","Non-Surgical","Non-NICU",2020
False,1,3,"ST MARY'S MEDICAL CENTER","Other","No Observation","Non-Surgical","Non-NICU",2020
False,1,3,"TAMPA GENERAL HOSPITAL","Self/Non-Payment","Observation","Non-Surgical","NICU Level I",2019
False,1,3,"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","Self/Non-Payment","No Observation","Non-Surgical","NICU Level II",2019
False,1,3,"ST JOSEPHS HOSPITAL","Other State/Local","No Observation","Non-Surgical","ICU <1 Year Old",2019
False,1,3,"BAPTIST MEDICAL CENTER JACKSONVILLE","Other Federal","Observation","Non-Surgical","NICU Level III",2019
False,1,3,"ST JOSEPHS HOSPITAL","Other Federal","Observation","Non-Surgical","ICU <1 Year Old",2019
False,1,3,"ST MARY'S MEDICAL CENTER","Other","No Observation","Non-Surgical","Non-NICU",2022
False,1,3,"TAMPA GENERAL HOSPITAL","Other State/Local","No Observation","Non-Surgical","NICU Level II",2022
False,1,3,"ST JOSEPHS HOSPITAL","Other Federal","Observation","Non-Surgical","NICU Level II",2022
False,1,3,"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","Self/Non-Payment","No Observation","Non-Surgical","NICU Level III",2022
False,1,3,"BAPTIST MEDICAL CENTER JACKSONVILLE","Medicare","No Observation","Non-Surgical","NICU Level I",2018
False,1,3,"TAMPA GENERAL HOSPITAL","Other","No Observation","Non-Surgical","NICU Level I",2018
False,1,3,"TAMPA GENERAL HOSPITAL","Other State/Local","No Observation","Non-Surgical","NICU Level I",2018
False,1,3,"UF HEALTH SHANDS HOSPITAL","Medicaid","Observation","Non-Surgical","NICU Level I",2018
False,1,3,"BAPTIST MEDICAL CENTER JACKSONVILLE","Commercial","No Observation","Non-Surgical","NICU Level II",2018
False,1,3,"ARNOLD PALMER MEDICAL CENTER","Other","No Observation","Non-Surgical","NICU Level I",2018
False,1,3,"BROWARD HEALTH MEDICAL CENTER","Other Federal","No Observation","Non-Surgical","NICU Level II",2022
False,1,3,"TAMPA GENERAL HOSPITAL","Kidcare","Observation","Non-Surgical","Non-NICU",2022
False,1,3,"MEMORIAL REGIONAL HOSPITAL","Medicaid","Observation","Non-Surgical","ICU <1 Year Old",2017
False,1,3,"ST MARY'S MEDICAL CENTER","Commercial","Observation","Non-Surgical","NICU Level I",2017
False,1,3,"ST MARY'S MEDICAL CENTER","Medicare","Observation","Non-Surgical","Non-NICU",2021
False,1,3,"BAPTIST MEDICAL CENTER JACKSONVILLE","Commercial","No Observation","Non-Surgical","NICU Level II",2021
False,1,3,"ARNOLD PALMER MEDICAL CENTER","Medicaid","Observation","Non-Surgical","NICU Level I",2021
False,1,3,"ARNOLD PALMER MEDICAL CENTER","Commercial","Observation","Non-Surgical","NICU Level I",2021
False,1,3,"ADVENTHEALTH ORLANDO","Other Federal","Observation","Non-Surgical","NICU Level I",2016
False,1,3,"ST JOSEPHS HOSPITAL","Self/Non-Payment","No Observation","Non-Surgical","NICU Level II",2016
False,1,3,"BAPTIST MEDICAL CENTER JACKSONVILLE","Workers' Comp","Observation","Non-Surgical","Non-NICU",2016
False,1,3,"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","Other","No Observation","Non-Surgical","Non-NICU",2016
False,1,3,"BAPTIST MEDICAL CENTER JACKSONVILLE","Self/Non-Payment","Observation","Non-Surgical","Non-NICU",2021
False,1,3,"HEALTHPARK MEDICAL CENTER","Other State/Local","No Observation","Non-Surgical","NICU Level III",2021
False,1,3,"BAPTIST MEDICAL CENTER JACKSONVILLE","Commercial","Observation","Non-Surgical","NICU Level II",2021
False,1,3,"ARNOLD PALMER MEDICAL CENTER","Self/Non-Payment","No Observation","Non-Surgical","ICU <1 Year Old",2021
False,1,3,"ST MARY'S MEDICAL CENTER","Commercial","Observation","Non-Surgical","ICU <1 Year Old",2021
False,1,3,"BAPTIST MEDICAL CENTER JACKSONVILLE","Medicaid","No Observation","Non-Surgical","NICU Level II",2021
False,1,3,"JACKSON MEMORIAL HOSPITAL","Medicare","No Observation","Non-Surgical","NICU Level II",2017
False,1,3,"CAPE CORAL HOSPITAL","Self/Non-Payment","No Observation","Non-Surgical","Non-NICU",2017
False,1,3,"TAMPA GENERAL HOSPITAL","Other","No Observation","Non-Surgical","NICU Level II",2017
False,1,3,"ADVENTHEALTH ORLANDO","Self/Non-Payment","Observation","Non-Surgical","ICU <1 Year Old",2017
False,1,3,"ARNOLD PALMER MEDICAL CENTER","Medicare","No Observation","Non-Surgical","NICU Level III",2017
False,1,3,"TAMPA GENERAL HOSPITAL","Workers' Comp","No Observation","Non-Surgical","Non-NICU",2017
False,1,3,"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","Other","No Observation","Non-Surgical","Non-NICU",2017
False,1,3,"TAMPA GENERAL HOSPITAL","Commercial","Observation","Non-Surgical","ICU <1 Year Old",2017
False,1,3,"ST MARY'S MEDICAL CENTER","Kidcare","No Observation","Non-Surgical","NICU Level I",2018
False,1,3,"JACKSON MEMORIAL HOSPITAL","Other Federal","No Observation","Non-Surgical","NICU Level II",2018
False,1,3,"JACKSON MEMORIAL HOSPITAL","Other State/Local","No Observation","Non-Surgical","Non-NICU",2018
False,1,3,"WOLFSON CHILDREN'S HOSPITAL","Self/Non-Payment","No Observation","Non-Surgical","ICU <1 Year Old",2018
False,1,3,"MEMORIAL REGIONAL HOSPITAL","Other Federal","Observation","Non-Surgical","Non-NICU",2018
False,1,3,"WOLFSON CHILDREN'S HOSPITAL","Other Federal","Observation","Non-Surgical","NICU Level II",2018
False,1,3,"ARNOLD PALMER MEDICAL CENTER","Other Federal","No Observation","Non-Surgical","ICU <1 Year Old",2018
False,1,3,"BAPTIST MEDICAL CENTER JACKSONVILLE","Medicaid","Observation","Non-Surgical","NICU Level I",2018
False,1,3,"UF HEALTH SHANDS HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level I",2018
False,1,3,"BAPTIST MEDICAL CENTER JACKSONVILLE","Other Federal","Observation","Non-Surgical","NICU Level I",2018
False,1,3,"MEMORIAL REGIONAL HOSPITAL","Commercial","Observation","Non-Surgical","ICU <1 Year Old",2017
False,1,3,"ADVENTHEALTH ORLANDO","Other Federal","No Observation","Non-Surgical","ICU <1 Year Old",2018
False,1,3,"ST MARY'S MEDICAL CENTER","Commercial","Observation","Non-Surgical","NICU Level I",2018
False,1,3,"UF HEALTH SHANDS HOSPITAL","Other Federal","No Observation","Non-Surgical","NICU Level II",2020
False,1,3,"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","Other","No Observation","Non-Surgical","Non-NICU",2020
False,1,3,"JACKSON MEMORIAL HOSPITAL","Self/Non-Payment","Observation","Non-Surgical","NICU Level I",2017
False,1,3,"BROWARD HEALTH MEDICAL CENTER","Other","No Observation","Non-Surgical","NICU Level I",2016
False,1,3,"ST JOSEPHS HOSPITAL","Self/Non-Payment","Observation","Non-Surgical","ICU <1 Year Old",2016
False,1,3,"ST MARY'S MEDICAL CENTER","Commercial","Observation","Non-Surgical","NICU Level I",2016
False,1,3,"MEMORIAL REGIONAL HOSPITAL","Other","Observation","Non-Surgical","Non-NICU",2019
False,1,3,"BROWARD HEALTH MEDICAL CENTER","Medicare","No Observation","Non-Surgical","NICU Level I",2019
False,1,3,"TAMPA GENERAL HOSPITAL","Other Federal","Observation","Non-Surgical","NICU Level II",2019
False,1,3,"ADVENTHEALTH ORLANDO","Medicare","No Observation","Non-Surgical","NICU Level I",2016
False,1,3,"HEALTHPARK MEDICAL CENTER","Other Federal","No Observation","Non-Surgical","ICU <1 Year Old",2016
False,1,3,"ARNOLD PALMER MEDICAL CENTER","Other State/Local","No Observation","Non-Surgical","Non-NICU",2016
False,1,3,"TAMPA GENERAL HOSPITAL","Other Federal","No Observation","Non-Surgical","ICU <1 Year Old",2016
False,1,3,"ST MARY'S MEDICAL CENTER","Other State/Local","Observation","Non-Surgical","Non-NICU",2016
False,1,3,"TAMPA GENERAL HOSPITAL","Medicare","No Observation","Non-Surgical","NICU Level III",2016
