Hospital,MDC,MSDRG,YEAR,IsGrandTotalRowTotal,CountSYS_RECID
"WOLFSON CHILDREN'S HOSPITAL","MDC 08","557",2021,False,1
"WOLFSON CHILDREN'S HOSPITAL","MDC 08","471",2021,False,1
"BROWARD HEALTH MEDICAL CENTER","MDC 08","564",2021,False,1
"JACKSON MEMORIAL HOSPITAL","MDC 08","557",2021,False,1
"MEMORIAL REGIONAL HOSPITAL","MDC 08","454",2021,False,1
"ASCENSION SACRED HEART PENSACOLA","MDC 08","471",2021,False,1
"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","MDC 08","518",2021,False,1
"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","MDC 08","459",2021,False,1
"ST JOSEPHS HOSPITAL","MDC 08","495",2021,False,1
"ARNOLD PALMER MEDICAL CENTER","MDC 08","551",2021,False,1
"MEMORIAL REGIONAL HOSPITAL","MDC 08","496",2021,False,1
"WOLFSON CHILDREN'S HOSPITAL","MDC 08","518",2021,False,1
"HEALTHPARK MEDICAL CENTER","MDC 08","495",2021,False,1
"UF HEALTH SHANDS HOSPITAL","MDC 08","497",2021,False,1
"ST MARY'S MEDICAL CENTER","MDC 08","487",2021,False,1
"MEMORIAL REGIONAL HOSPITAL","MDC 08","477",2021,False,1
"BROWARD HEALTH MEDICAL CENTER","MDC 08","493",2021,False,1
"ST JOSEPHS HOSPITAL","MDC 08","548",2021,False,1
"TAMPA GENERAL HOSPITAL","MDC 08","479",2021,False,1
"ST MARY'S MEDICAL CENTER","MDC 08","456",2021,False,1
"BROWARD HEALTH MEDICAL CENTER","MDC 08","520",2021,False,1
"WOLFSON CHILDREN'S HOSPITAL","MDC 08","473",2021,False,1
"BROWARD HEALTH MEDICAL CENTER","MDC 08","501",2021,False,1
"ST JOSEPHS HOSPITAL","MDC 08","488",2021,False,1
"WOLFSON CHILDREN'S HOSPITAL","MDC 08","503",2021,False,1
"WOLFSON CHILDREN'S HOSPITAL","MDC 08","464",2021,False,1
"ST JOSEPHS HOSPITAL","MDC 08","473",2021,False,1
"WOLFSON CHILDREN'S HOSPITAL","MDC 08","507",2021,False,1
"ST MARY'S MEDICAL CENTER","MDC 08","473",2021,False,1
"MEMORIAL REGIONAL HOSPITAL","MDC 08","504",2021,False,1
"JACKSON MEMORIAL HOSPITAL","MDC 08","496",2021,False,1
"MEMORIAL REGIONAL HOSPITAL","MDC 08","472",2021,False,1
"WOLFSON CHILDREN'S HOSPITAL","MDC 08","510",2021,False,1
"TAMPA GENERAL HOSPITAL","MDC 08","520",2021,False,1
"ST JOSEPHS HOSPITAL","MDC 08","542",2021,False,1
"JACKSON MEMORIAL HOSPITAL","MDC 08","483",2021,False,1
"ARNOLD PALMER MEDICAL CENTER","MDC 08","454",2021,False,1
"ASCENSION SACRED HEART PENSACOLA","MDC 08","464",2021,False,1
"ST JOSEPHS HOSPITAL","MDC 08","478",2021,False,1
"UF HEALTH SHANDS HOSPITAL","MDC 08","512",2021,False,1
"UF HEALTH SHANDS HOSPITAL","MDC 08","504",2021,False,1
"ARNOLD PALMER MEDICAL CENTER","MDC 08","465",2021,False,1
"HEALTHPARK MEDICAL CENTER","MDC 08","455",2021,False,1
"TAMPA GENERAL HOSPITAL","MDC 08","504",2021,False,1
"ASCENSION SACRED HEART PENSACOLA","MDC 08","502",2021,False,1
"TAMPA GENERAL HOSPITAL","MDC 08","454",2021,False,1
"TAMPA GENERAL HOSPITAL","MDC 08","465",2021,False,1
"MEMORIAL REGIONAL HOSPITAL","MDC 08","489",2021,False,1
"JACKSON MEMORIAL HOSPITAL","MDC 08","467",2021,False,1
"ARNOLD PALMER MEDICAL CENTER","MDC 08","486",2021,False,1
"JACKSON MEMORIAL HOSPITAL","MDC 08","470",2021,False,1
"UF HEALTH SHANDS HOSPITAL","MDC 08","468",2021,False,1
"TAMPA GENERAL HOSPITAL","MDC 08","534",2021,False,1
"TAMPA GENERAL HOSPITAL","MDC 08","487",2021,False,1
"ADVENTHEALTH ORLANDO","MDC 08","500",2021,False,1
"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","MDC 08","485",2021,False,1
"TAMPA GENERAL HOSPITAL","MDC 08","496",2021,False,1
"MEMORIAL REGIONAL HOSPITAL","MDC 08","550",2021,False,1
"BROWARD HEALTH MEDICAL CENTER","MDC 08","488",2021,False,1
"BROWARD HEALTH MEDICAL CENTER","MDC 08","492",2021,False,1
"ARNOLD PALMER MEDICAL CENTER","MDC 08","488",2021,False,1
"ARNOLD PALMER MEDICAL CENTER","MDC 08","470",2021,False,1
"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","MDC 08","470",2021,False,1
"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","MDC 08","519",2021,False,1
"TAMPA GENERAL HOSPITAL","MDC 08","500",2021,False,1
"MEMORIAL REGIONAL HOSPITAL","MDC 08","485",2021,False,1
"ADVENTHEALTH ORLANDO","MDC 08","511",2021,False,1
"MEMORIAL REGIONAL HOSPITAL","MDC 08","509",2021,False,1
"UF HEALTH SHANDS HOSPITAL","MDC 08","544",2021,False,1
"ST MARY'S MEDICAL CENTER","MDC 08","505",2021,False,1
"BROWARD HEALTH MEDICAL CENTER","MDC 08","465",2021,False,1
"BROWARD HEALTH MEDICAL CENTER","MDC 08","534",2021,False,1
"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","MDC 08","544",2021,False,1
"ASCENSION SACRED HEART PENSACOLA","MDC 08","541",2021,False,1
"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","MDC 08","499",2021,False,1
"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","MDC 08","479",2021,False,1
"ASCENSION SACRED HEART PENSACOLA","MDC 08","565",2021,False,1
"ASCENSION SACRED HEART PENSACOLA","MDC 08","544",2021,False,1
"ASCENSION SACRED HEART PENSACOLA","MDC 08","480",2021,False,1
"ADVENTHEALTH ORLANDO","MDC 08","510",2021,False,1
"ASCENSION SACRED HEART PENSACOLA","MDC 08","539",2021,False,1
"ST JOSEPHS HOSPITAL","MDC 08","515",2021,False,1
"ST JOSEPHS HOSPITAL","MDC 08","512",2021,False,1
"MEMORIAL REGIONAL HOSPITAL","MDC 08","486",2021,False,1
"TAMPA GENERAL HOSPITAL","MDC 08","562",2021,False,1
"WOLFSON CHILDREN'S HOSPITAL","MDC 08","551",2021,False,1
"TAMPA GENERAL HOSPITAL","MDC 08","542",2021,False,1
"ADVENTHEALTH ORLANDO","MDC 08","544",2021,False,1
"ST JOSEPHS HOSPITAL","MDC 08","565",2021,False,1
"ARNOLD PALMER MEDICAL CENTER","MDC 08","473",2021,False,1
"JACKSON MEMORIAL HOSPITAL","MDC 08","460",2021,False,1
"UF HEALTH SHANDS HOSPITAL","MDC 08","496",2021,False,1
"UF HEALTH SHANDS HOSPITAL","MDC 08","460",2021,False,1
"JACKSON MEMORIAL HOSPITAL","MDC 08","465",2021,False,1
"MEMORIAL REGIONAL HOSPITAL","MDC 08","497",2021,False,1
"BROWARD HEALTH MEDICAL CENTER","MDC 08","519",2021,False,1
"ASCENSION SACRED HEART PENSACOLA","MDC 08","504",2021,False,1
"JACKSON MEMORIAL HOSPITAL","MDC 08","501",2021,False,1
"ASCENSION SACRED HEART PENSACOLA","MDC 08","510",2021,False,1
"BROWARD HEALTH MEDICAL CENTER","MDC 08","540",2021,False,1
"TAMPA GENERAL HOSPITAL","MDC 08","519",2021,False,1
"WOLFSON CHILDREN'S HOSPITAL","MDC 08","488",2021,False,1
"TAMPA GENERAL HOSPITAL","MDC 08","510",2021,False,1
"UF HEALTH SHANDS HOSPITAL","MDC 08","470",2021,False,1
"UF HEALTH SHANDS HOSPITAL","MDC 08","538",2021,False,1
"UF HEALTH SHANDS HOSPITAL","MDC 08","489",2021,False,1
"JACKSON MEMORIAL HOSPITAL","MDC 08","511",2021,False,1
"ARNOLD PALMER MEDICAL CENTER","MDC 08","489",2021,False,1
"BROWARD HEALTH MEDICAL CENTER","MDC 08","516",2021,False,1
"ST JOSEPHS HOSPITAL","MDC 08","497",2021,False,1
"ARNOLD PALMER MEDICAL CENTER","MDC 08","497",2021,False,1
"ST JOSEPHS HOSPITAL","MDC 08","504",2021,False,1
"MEMORIAL REGIONAL HOSPITAL","MDC 08","505",2021,False,1
"ADVENTHEALTH ORLANDO","MDC 08","496",2021,False,1
"ST JOSEPHS HOSPITAL","MDC 08","476",2021,False,1
"MEMORIAL REGIONAL HOSPITAL","MDC 08","514",2021,False,1
"ADVENTHEALTH ORLANDO","MDC 08","479",2021,False,1
"BROWARD HEALTH MEDICAL CENTER","MDC 08","536",2021,False,1
"JACKSON MEMORIAL HOSPITAL","MDC 08","474",2021,False,1
"ADVENTHEALTH ORLANDO","MDC 08","453",2021,False,1
"JACKSON MEMORIAL HOSPITAL","MDC 08","463",2021,False,1
"ST JOSEPHS HOSPITAL","MDC 08","513",2021,False,1
"WOLFSON CHILDREN'S HOSPITAL","MDC 08","560",2021,False,1
"ST JOSEPHS HOSPITAL","MDC 08","492",2021,False,1
"UF HEALTH SHANDS HOSPITAL","MDC 08","542",2021,False,1
"ARNOLD PALMER MEDICAL CENTER","MDC 08","495",2021,False,1
"ASCENSION SACRED HEART PENSACOLA","MDC 08","456",2021,False,1
"ASCENSION SACRED HEART PENSACOLA","MDC 08","496",2021,False,1
"JACKSON MEMORIAL HOSPITAL","MDC 08","515",2021,False,1
"HEALTHPARK MEDICAL CENTER","MDC 08","555",2021,False,1
"BAPTIST MEDICAL CENTER JACKSONVILLE","MDC 08","541",2021,False,1
"ADVENTHEALTH ORLANDO","MDC 08","557",2021,False,1
"MEMORIAL REGIONAL HOSPITAL","MDC 08","554",2021,False,1
"HEALTHPARK MEDICAL CENTER","MDC 08","544",2021,False,1
"TAMPA GENERAL HOSPITAL","MDC 08","549",2021,False,1
"ST MARY'S MEDICAL CENTER","MDC 08","551",2021,False,1
"MEMORIAL REGIONAL HOSPITAL","MDC 08","559",2021,False,1
"JACKSON MEMORIAL HOSPITAL","MDC 08","537",2021,False,1
"WOLFSON CHILDREN'S HOSPITAL","MDC 08","541",2021,False,1
"ST MARY'S MEDICAL CENTER","MDC 08","538",2021,False,1
"ADVENTHEALTH ORLANDO","MDC 08","561",2021,False,1
"ARNOLD PALMER MEDICAL CENTER","MDC 08","533",2021,False,1
"MEMORIAL REGIONAL HOSPITAL","MDC 08","543",2021,False,1
"WOLFSON CHILDREN'S HOSPITAL","MDC 08","538",2021,False,1
"TAMPA GENERAL HOSPITAL","MDC 08","551",2021,False,1
"ARNOLD PALMER MEDICAL CENTER","MDC 08","477",2021,False,1
"ADVENTHEALTH ORLANDO","MDC 08","489",2021,False,1
"BROWARD HEALTH MEDICAL CENTER","MDC 08","487",2021,False,1
"TAMPA GENERAL HOSPITAL","MDC 08","463",2021,False,1
"TAMPA GENERAL HOSPITAL","MDC 08","488",2021,False,1
"ARNOLD PALMER MEDICAL CENTER","MDC 08","507",2021,False,1
"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","MDC 08","454",2021,False,1
"MEMORIAL REGIONAL HOSPITAL","MDC 08","500",2021,False,1
"ST JOSEPHS HOSPITAL","MDC 08","554",2021,False,1
"ST JOSEPHS HOSPITAL","MDC 08","503",2021,False,1
"WOLFSON CHILDREN'S HOSPITAL","MDC 08","515",2021,False,1
"MEMORIAL REGIONAL HOSPITAL","MDC 08","495",2021,False,1
"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","MDC 08","498",2021,False,1
"BROWARD HEALTH MEDICAL CENTER","MDC 08","480",2021,False,1
"UF HEALTH SHANDS HOSPITAL","MDC 08","486",2021,False,1
"MEMORIAL REGIONAL HOSPITAL","MDC 08","564",2021,False,1
"BROWARD HEALTH MEDICAL CENTER","MDC 08","502",2021,False,1
"UF HEALTH SHANDS HOSPITAL","MDC 08","454",2021,False,1
"ARNOLD PALMER MEDICAL CENTER","MDC 08","503",2021,False,1
"ADVENTHEALTH ORLANDO","MDC 08","454",2021,False,1
"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","MDC 08","455",2021,False,1
"BROWARD HEALTH MEDICAL CENTER","MDC 08","495",2021,False,1
"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","MDC 08","473",2021,False,1
"BROWARD HEALTH MEDICAL CENTER","MDC 08","457",2021,False,1
"BROWARD HEALTH MEDICAL CENTER","MDC 08","458",2021,False,1
"MEMORIAL REGIONAL HOSPITAL","MDC 08","557",2021,False,1
"WOLFSON CHILDREN'S HOSPITAL","MDC 08","476",2021,False,1
"TAMPA GENERAL HOSPITAL","MDC 08","515",2021,False,1
"JACKSON MEMORIAL HOSPITAL","MDC 08","514",2021,False,1
"ST MARY'S MEDICAL CENTER","MDC 08","475",2021,False,1
"ST JOSEPHS HOSPITAL","MDC 08","543",2021,False,1
"ARNOLD PALMER MEDICAL CENTER","MDC 08","455",2021,False,1
"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","MDC 08","477",2021,False,1
"ADVENTHEALTH ORLANDO","MDC 08","536",2021,False,1
"ARNOLD PALMER MEDICAL CENTER","MDC 08","518",2021,False,1
"HEALTHPARK MEDICAL CENTER","MDC 08","514",2021,False,1
"UF HEALTH SHANDS HOSPITAL","MDC 08","551",2021,False,1
"ST MARY'S MEDICAL CENTER","MDC 08","519",2021,False,1
"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","MDC 08","465",2021,False,1
"UF HEALTH SHANDS HOSPITAL","MDC 08","511",2021,False,1
"HEALTHPARK MEDICAL CENTER","MDC 08","488",2021,False,1
"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","MDC 08","496",2021,False,1
"MEMORIAL REGIONAL HOSPITAL","MDC 08","470",2021,False,1
"HEALTHPARK MEDICAL CENTER","MDC 08","465",2021,False,1
"ADVENTHEALTH ORLANDO","MDC 08","464",2021,False,1
"HEALTHPARK MEDICAL CENTER","MDC 08","499",2021,False,1
"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","MDC 08","488",2021,False,1
"BROWARD HEALTH MEDICAL CENTER","MDC 08","504",2021,False,1
"BAPTIST MEDICAL CENTER JACKSONVILLE","MDC 08","505",2021,False,1
"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","MDC 08","549",2021,False,1
"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","MDC 08","497",2021,False,1
"TAMPA GENERAL HOSPITAL","MDC 08","506",2021,False,1
"MEMORIAL REGIONAL HOSPITAL","MDC 08","507",2021,False,1
"MEMORIAL REGIONAL HOSPITAL","MDC 08","511",2021,False,1
"ARNOLD PALMER MEDICAL CENTER","MDC 08","510",2021,False,1
"ARNOLD PALMER MEDICAL CENTER","MDC 08","549",2021,False,1
"HEALTHPARK MEDICAL CENTER","MDC 08","478",2021,False,1
"HEALTHPARK MEDICAL CENTER","MDC 08","492",2021,False,1
"ARNOLD PALMER MEDICAL CENTER","MDC 08","499",2021,False,1
"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","MDC 08","507",2021,False,1
"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","MDC 08","492",2021,False,1
"UF HEALTH SHANDS HOSPITAL","MDC 08","492",2021,False,1
"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","MDC 08","515",2021,False,1
"ST MARY'S MEDICAL CENTER","MDC 08","541",2021,False,1
"ARNOLD PALMER MEDICAL CENTER","MDC 08","487",2021,False,1
"JACKSON MEMORIAL HOSPITAL","MDC 08","541",2016,False,1
"ST JOSEPHS HOSPITAL","MDC 08","538",2016,False,1
"TAMPA GENERAL HOSPITAL","MDC 08","556",2016,False,1
"HEALTHPARK MEDICAL CENTER","MDC 08","560",2016,False,1
"MEMORIAL REGIONAL HOSPITAL","MDC 08","542",2016,False,1
"ST JOSEPHS HOSPITAL","MDC 08","551",2016,False,1
"ASCENSION SACRED HEART PENSACOLA","MDC 08","555",2016,False,1
"TAMPA GENERAL HOSPITAL","MDC 08","496",2016,False,1
"ADVENTHEALTH ORLANDO","MDC 08","498",2016,False,1
"ST JOSEPHS HOSPITAL","MDC 08","506",2016,False,1
"JACKSON MEMORIAL HOSPITAL","MDC 08","517",2016,False,1
"TAMPA GENERAL HOSPITAL","MDC 08","512",2016,False,1
"HEALTHPARK MEDICAL CENTER","MDC 08","511",2016,False,1
"ST JOSEPHS HOSPITAL","MDC 08","513",2016,False,1
"TAMPA GENERAL HOSPITAL","MDC 08","497",2016,False,1
"TAMPA GENERAL HOSPITAL","MDC 08","513",2016,False,1
"BROWARD HEALTH MEDICAL CENTER","MDC 08","551",2016,False,1
"ADVENTHEALTH ORLANDO","MDC 08","500",2016,False,1
"ASCENSION SACRED HEART PENSACOLA","MDC 08","561",2016,False,1
"ASCENSION SACRED HEART PENSACOLA","MDC 08","510",2016,False,1
"ASCENSION SACRED HEART PENSACOLA","MDC 08","499",2016,False,1
"ASCENSION SACRED HEART PENSACOLA","MDC 08","506",2016,False,1
"ASCENSION SACRED HEART PENSACOLA","MDC 08","541",2016,False,1
"ADVENTHEALTH ORLANDO","MDC 08","479",2016,False,1
"ASCENSION SACRED HEART PENSACOLA","MDC 08","519",2016,False,1
"UF HEALTH SHANDS HOSPITAL","MDC 08","514",2016,False,1
"JACKSON MEMORIAL HOSPITAL","MDC 08","492",2016,False,1
"ASCENSION SACRED HEART PENSACOLA","MDC 08","467",2016,False,1
"ASCENSION SACRED HEART PENSACOLA","MDC 08","468",2016,False,1
"TAMPA GENERAL HOSPITAL","MDC 08","559",2016,False,1
"BROWARD HEALTH MEDICAL CENTER","MDC 08","499",2016,False,1
"HEALTHPARK MEDICAL CENTER","MDC 08","459",2016,False,1
"ADVENTHEALTH ORLANDO","MDC 08","519",2016,False,1
"BROWARD HEALTH MEDICAL CENTER","MDC 08","534",2016,False,1
"BROWARD HEALTH MEDICAL CENTER","MDC 08","498",2016,False,1
"ADVENTHEALTH ORLANDO","MDC 08","511",2016,False,1
"ST MARY'S MEDICAL CENTER","MDC 08","553",2016,False,1
"ST MARY'S MEDICAL CENTER","MDC 08","500",2016,False,1
"ST JOSEPHS HOSPITAL","MDC 08","499",2016,False,1
"ADVENTHEALTH ORLANDO","MDC 08","499",2016,False,1
"ASCENSION SACRED HEART PENSACOLA","MDC 08","478",2016,False,1
"ASCENSION SACRED HEART PENSACOLA","MDC 08","515",2016,False,1
"ARNOLD PALMER MEDICAL CENTER","MDC 08","495",2016,False,1
"TAMPA GENERAL HOSPITAL","MDC 08","472",2016,False,1
"ARNOLD PALMER MEDICAL CENTER","MDC 08","454",2016,False,1
"JACKSON MEMORIAL HOSPITAL","MDC 08","463",2016,False,1
"ST JOSEPHS HOSPITAL","MDC 08","500",2016,False,1
"ST JOSEPHS HOSPITAL","MDC 08","492",2016,False,1
"HEALTHPARK MEDICAL CENTER","MDC 08","460",2016,False,1
"ADVENTHEALTH ORLANDO","MDC 08","492",2016,False,1
"BAPTIST MEDICAL CENTER JACKSONVILLE","MDC 08","470",2016,False,1
"ASCENSION SACRED HEART PENSACOLA","MDC 08","549",2016,False,1
"TAMPA GENERAL HOSPITAL","MDC 08","544",2016,False,1
"BAPTIST MEDICAL CENTER JACKSONVILLE","MDC 08","555",2016,False,1
"HEALTHPARK MEDICAL CENTER","MDC 08","562",2016,False,1
"BAPTIST MEDICAL CENTER JACKSONVILLE","MDC 08","553",2016,False,1
"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","MDC 08","542",2016,False,1
"BAPTIST MEDICAL CENTER JACKSONVILLE","MDC 08","453",2016,False,1
"ADVENTHEALTH ORLANDO","MDC 08","480",2016,False,1
"BROWARD HEALTH MEDICAL CENTER","MDC 08","459",2016,False,1
"BAPTIST MEDICAL CENTER JACKSONVILLE","MDC 08","467",2016,False,1
"ADVENTHEALTH ORLANDO","MDC 08","496",2016,False,1
"ADVENTHEALTH ORLANDO","MDC 08","507",2016,False,1
"MEMORIAL REGIONAL HOSPITAL","MDC 08","543",2016,False,1
"JACKSON MEMORIAL HOSPITAL","MDC 08","559",2016,False,1
"MEMORIAL REGIONAL HOSPITAL","MDC 08","557",2016,False,1
"TAMPA GENERAL HOSPITAL","MDC 08","562",2016,False,1
"ASCENSION SACRED HEART PENSACOLA","MDC 08","545",2016,False,1
"ST MARY'S MEDICAL CENTER","MDC 08","541",2016,False,1
"ST MARY'S MEDICAL CENTER","MDC 08","459",2016,False,1
"UF HEALTH SHANDS HOSPITAL","MDC 08","555",2016,False,1
"HEALTHPARK MEDICAL CENTER","MDC 08","565",2016,False,1
"HEALTHPARK MEDICAL CENTER","MDC 08","549",2016,False,1
"UF HEALTH SHANDS HOSPITAL","MDC 08","561",2016,False,1
"ASCENSION SACRED HEART PENSACOLA","MDC 08","556",2016,False,1
"BAPTIST MEDICAL CENTER JACKSONVILLE","MDC 08","560",2016,False,1
"HEALTHPARK MEDICAL CENTER","MDC 08","551",2016,False,1
"MEMORIAL REGIONAL HOSPITAL","MDC 08","561",2016,False,1
"MEMORIAL REGIONAL HOSPITAL","MDC 08","559",2016,False,1
"ST MARY'S MEDICAL CENTER","MDC 08","559",2016,False,1
"ARNOLD PALMER MEDICAL CENTER","MDC 08","553",2016,False,1
"UF HEALTH SHANDS HOSPITAL","MDC 08","535",2016,False,1
"JACKSON MEMORIAL HOSPITAL","MDC 08","544",2016,False,1
"BAPTIST MEDICAL CENTER JACKSONVILLE","MDC 08","537",2016,False,1
"ADVENTHEALTH ORLANDO","MDC 08","554",2016,False,1
"BAPTIST MEDICAL CENTER JACKSONVILLE","MDC 08","562",2016,False,1
"BAPTIST MEDICAL CENTER JACKSONVILLE","MDC 08","564",2016,False,1
"BAPTIST MEDICAL CENTER JACKSONVILLE","MDC 08","536",2016,False,1
"BAPTIST MEDICAL CENTER JACKSONVILLE","MDC 08","543",2016,False,1
"ST JOSEPHS HOSPITAL","MDC 08","539",2016,False,1
"UF HEALTH SHANDS HOSPITAL","MDC 08","539",2016,False,1
"JACKSON MEMORIAL HOSPITAL","MDC 08","564",2016,False,1
"UF HEALTH SHANDS HOSPITAL","MDC 08","477",2016,False,1
"ARNOLD PALMER MEDICAL CENTER","MDC 08","518",2016,False,1
"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","MDC 08","543",2016,False,1
"UF HEALTH SHANDS HOSPITAL","MDC 08","492",2016,False,1
"UF HEALTH SHANDS HOSPITAL","MDC 08","498",2016,False,1
"BAPTIST MEDICAL CENTER JACKSONVILLE","MDC 08","473",2016,False,1
"BROWARD HEALTH MEDICAL CENTER","MDC 08","456",2016,False,1
"ASCENSION SACRED HEART PENSACOLA","MDC 08","459",2016,False,1
"TAMPA GENERAL HOSPITAL","MDC 08","500",2016,False,1
"HEALTHPARK MEDICAL CENTER","MDC 08","496",2016,False,1
"ADVENTHEALTH ORLANDO","MDC 08","515",2016,False,1
"BAPTIST MEDICAL CENTER JACKSONVILLE","MDC 08","492",2016,False,1
"BAPTIST MEDICAL CENTER JACKSONVILLE","MDC 08","504",2016,False,1
"BAPTIST MEDICAL CENTER JACKSONVILLE","MDC 08","511",2016,False,1
"BAPTIST MEDICAL CENTER JACKSONVILLE","MDC 08","486",2016,False,1
"BAPTIST MEDICAL CENTER JACKSONVILLE","MDC 08","510",2016,False,1
"MEMORIAL REGIONAL HOSPITAL","MDC 08","545",2016,False,1
"MEMORIAL REGIONAL HOSPITAL","MDC 08","533",2016,False,1
"BROWARD HEALTH MEDICAL CENTER","MDC 08","477",2016,False,1
"ASCENSION SACRED HEART PENSACOLA","MDC 08","516",2016,False,1
"HEALTHPARK MEDICAL CENTER","MDC 08","500",2016,False,1
"MEMORIAL REGIONAL HOSPITAL","MDC 08","486",2016,False,1
"UF HEALTH SHANDS HOSPITAL","MDC 08","459",2016,False,1
"UF HEALTH SHANDS HOSPITAL","MDC 08","488",2016,False,1
"UF HEALTH SHANDS HOSPITAL","MDC 08","504",2016,False,1
"UF HEALTH SHANDS HOSPITAL","MDC 08","533",2016,False,1
"UF HEALTH SHANDS HOSPITAL","MDC 08","468",2016,False,1
"BAPTIST MEDICAL CENTER JACKSONVILLE","MDC 08","464",2016,False,1
"HEALTHPARK MEDICAL CENTER","MDC 08","507",2016,False,1
"BROWARD HEALTH MEDICAL CENTER","MDC 08","516",2016,False,1
"TAMPA GENERAL HOSPITAL","MDC 08","459",2016,False,1
"HEALTHPARK MEDICAL CENTER","MDC 08","470",2016,False,1
"ST MARY'S MEDICAL CENTER","MDC 08","453",2016,False,1
"JACKSON MEMORIAL HOSPITAL","MDC 08","460",2016,False,1
"ST MARY'S MEDICAL CENTER","MDC 08","460",2016,False,1
"ASCENSION SACRED HEART PENSACOLA","MDC 08","460",2016,False,1
"ARNOLD PALMER MEDICAL CENTER","MDC 08","455",2016,False,1
"TAMPA GENERAL HOSPITAL","MDC 08","501",2016,False,1
"JACKSON MEMORIAL HOSPITAL","MDC 08","464",2016,False,1
"ASCENSION SACRED HEART PENSACOLA","MDC 08","507",2016,False,1
"HEALTHPARK MEDICAL CENTER","MDC 08","517",2016,False,1
